search_date,variant,search_sessions,successful_search_rate,click_through_rate,search_error_rate
2026-05-01,control,1481,0.4598244429439568,0.5442268737339635,0.01012829169480081
2026-05-01,improved_results,1410,0.4950354609929078,0.5673758865248227,0.0070921985815602835
2026-05-02,control,1488,0.4583333333333333,0.5376344086021505,0.009408602150537635
2026-05-02,improved_results,1431,0.506638714185884,0.5821104122990916,0.009084556254367574
2026-05-03,control,1415,0.4657243816254417,0.5547703180212014,0.0077738515901060075
2026-05-03,improved_results,1433,0.5101186322400558,0.581297976273552,0.009071877180739707
2026-05-04,control,1473,0.45010183299389,0.526816021724372,0.012219959266802444
2026-05-04,improved_results,1442,0.5159500693481276,0.5866851595006934,0.009708737864077669
2026-05-05,control,1445,0.4692041522491349,0.558477508650519,0.011764705882352941
2026-05-05,improved_results,1418,0.5007052186177715,0.5916784203102962,0.011283497884344146
2026-05-06,control,1541,0.47306943543153795,0.5444516547696301,0.008436080467229072
2026-05-06,improved_results,1437,0.5059151009046625,0.5901183020180932,0.014613778705636743
2026-05-07,control,1525,0.4583606557377049,0.5481967213114755,0.008524590163934427
2026-05-07,improved_results,1468,0.5,0.5756130790190735,0.008855585831062671
2026-05-08,control,1455,0.4666666666666667,0.5388316151202749,0.01443298969072165
2026-05-08,improved_results,1382,0.5188133140376266,0.5904486251808972,0.007959479015918957
2026-05-09,control,1458,0.4615912208504801,0.5473251028806584,0.00823045267489712
2026-05-09,improved_results,1457,0.4914207275223061,0.5662319835277968,0.01029512697323267
2026-05-10,control,1498,0.4833110814419226,0.5640854472630173,0.014686248331108143
2026-05-10,improved_results,1519,0.4950625411454905,0.5727452271231073,0.009874917709019092
2026-05-11,control,1438,0.4610570236439499,0.5438108484005564,0.008344923504867872
2026-05-11,improved_results,1454,0.48762035763411277,0.5729023383768913,0.015130674002751032
2026-05-12,control,1426,0.47685834502103785,0.5448807854137447,0.015427769985974754
2026-05-12,improved_results,1445,0.48788927335640137,0.5674740484429066,0.01522491349480969
2026-05-13,control,1491,0.45539906103286387,0.5385647216633133,0.014755197853789403
2026-05-13,improved_results,1514,0.4960369881109643,0.5640686922060766,0.010568031704095112
2026-05-14,control,1528,0.4352094240837696,0.5157068062827225,0.006544502617801047
2026-05-14,improved_results,1509,0.48575215374420144,0.5679257786613652,0.01126573889993373
2026-05-15,control,1467,0.4601226993865031,0.5323790047716428,0.010224948875255624
2026-05-15,improved_results,1490,0.5053691275167785,0.5785234899328859,0.012080536912751677
2026-05-16,control,1469,0.472430224642614,0.5575221238938053,0.008849557522123894
2026-05-16,improved_results,1466,0.49863574351978174,0.5866302864938608,0.011596180081855388
2026-05-17,control,1505,0.45182724252491696,0.5395348837209303,0.009966777408637873
2026-05-17,improved_results,1408,0.4992897727272727,0.5866477272727273,0.008522727272727272
2026-05-18,control,1488,0.448252688172043,0.5329301075268817,0.0114247311827957
2026-05-18,improved_results,1441,0.5003469812630118,0.5773768216516308,0.012491325468424705
2026-05-19,control,1526,0.46788990825688076,0.5380078636959371,0.009174311926605505
2026-05-19,improved_results,1439,0.4996525364836692,0.5726198749131342,0.01250868658790827
2026-05-20,control,1418,0.4830747531734838,0.5543018335684062,0.007757404795486601
2026-05-20,improved_results,1401,0.4782298358315489,0.5688793718772306,0.012134189864382585
2026-05-21,control,1485,0.463973063973064,0.5441077441077441,0.006734006734006734
2026-05-21,improved_results,1403,0.49109052031361367,0.5680684248039914,0.011404133998574484
2026-05-22,control,1470,0.48435374149659866,0.5503401360544218,0.009523809523809525
2026-05-22,improved_results,1406,0.5028449502133713,0.5839260312944523,0.00995732574679943
2026-05-23,control,1450,0.44,0.52,0.01310344827586207
2026-05-23,improved_results,1465,0.4887372013651877,0.5692832764505119,0.011604095563139932
2026-05-24,control,1443,0.44975744975744975,0.5398475398475399,0.006237006237006237
2026-05-24,improved_results,1399,0.49320943531093636,0.5804145818441744,0.007862759113652609
2026-05-25,control,1449,0.46238785369220153,0.5507246376811594,0.008281573498964804
2026-05-25,improved_results,1478,0.49052774018944517,0.5771312584573748,0.013531799729364006
2026-05-26,control,1511,0.457313037723362,0.5367306419589676,0.009927200529450696
2026-05-26,improved_results,1528,0.4849476439790576,0.5615183246073299,0.013089005235602094
2026-05-27,control,1446,0.4702627939142462,0.549792531120332,0.002074688796680498
2026-05-27,improved_results,1494,0.48527443105756357,0.5629183400267738,0.007362784471218206
2026-05-28,control,1436,0.46309192200557103,0.5501392757660167,0.005571030640668524
2026-05-28,improved_results,1454,0.5,0.5742778541953233,0.013755158184319119
